lat,lon,year,month
33.0,-118.0,2021,4
33.0,-118.0,2021,5
33.0,-118.0,2021,6
33.0,-118.0,2021,7
33.0,-118.0,2021,8
33.0,-118.0,2021,9
33.0,-118.0,2021,10
33.0,-118.0,2021,11
33.0,-118.0,2021,12
33.0,-117.0,2019,7
33.0,-117.0,2019,8
33.0,-117.0,2019,9
33.0,-117.0,2019,10
33.0,-117.0,2019,11
33.0,-117.0,2019,12
33.0,-117.0,2020,1
33.0,-117.0,2020,2
33.0,-117.0,2020,3
33.0,-117.0,2020,4
33.0,-117.0,2020,5
33.0,-117.0,2020,6
33.0,-117.0,2020,7
33.0,-117.0,2020,8
33.0,-117.0,2020,9
33.0,-117.0,2020,10
33.0,-117.0,2020,11
33.0,-117.0,2020,12
33.0,-117.0,2021,1
33.0,-117.0,2021,2
33.0,-117.0,2021,3
33.0,-117.0,2021,4
33.0,-117.0,2021,5
33.0,-117.0,2021,6
33.0,-117.0,2021,7
33.0,-117.0,2021,8
33.0,-117.0,2021,9
33.0,-117.0,2021,10
33.0,-117.0,2021,11
33.0,-117.0,2021,12
33.0,-116.0,2019,7
33.0,-116.0,2019,8
33.0,-116.0,2019,9
33.0,-116.0,2019,10
33.0,-116.0,2019,11
33.0,-116.0,2019,12
33.0,-116.0,2020,1
33.0,-116.0,2020,2
33.0,-116.0,2020,3
33.0,-116.0,2020,4
33.0,-116.0,2020,5
33.0,-116.0,2020,6
33.0,-116.0,2020,7
33.0,-116.0,2020,8
33.0,-116.0,2020,9
33.0,-116.0,2020,10
33.0,-116.0,2020,11
33.0,-116.0,2020,12
33.0,-116.0,2021,1
33.0,-116.0,2021,2
33.0,-116.0,2021,3
33.0,-116.0,2021,4
33.0,-116.0,2021,5
33.0,-116.0,2021,6
33.0,-116.0,2021,7
33.0,-116.0,2021,8
33.0,-116.0,2021,9
33.0,-116.0,2021,10
33.0,-116.0,2021,11
33.0,-116.0,2021,12
33.0,-115.0,2019,7
33.0,-115.0,2019,8
33.0,-115.0,2019,9
33.0,-115.0,2019,10
33.0,-115.0,2019,11
33.0,-115.0,2019,12
33.0,-115.0,2020,1
33.0,-115.0,2020,2
33.0,-115.0,2020,3
33.0,-115.0,2020,4
33.0,-115.0,2020,5
33.0,-115.0,2020,6
33.0,-115.0,2020,7
33.0,-115.0,2020,8
33.0,-115.0,2020,9
33.0,-115.0,2020,10
33.0,-115.0,2020,11
33.0,-115.0,2020,12
33.0,-115.0,2021,1
33.0,-115.0,2021,2
33.0,-115.0,2021,3
33.0,-115.0,2021,4
33.0,-115.0,2021,5
33.0,-115.0,2021,6
33.0,-115.0,2021,7
33.0,-115.0,2021,8
33.0,-115.0,2021,9
33.0,-115.0,2021,10
33.0,-115.0,2021,11
33.0,-115.0,2021,12
34.0,-121.0,2019,7
34.0,-121.0,2019,8
34.0,-121.0,2019,9
34.0,-121.0,2019,10
34.0,-121.0,2019,11
34.0,-121.0,2019,12
34.0,-121.0,2020,1
34.0,-121.0,2020,2
34.0,-121.0,2020,3
34.0,-121.0,2020,4
34.0,-121.0,2020,5
34.0,-121.0,2020,6
34.0,-121.0,2020,7
34.0,-121.0,2020,8
34.0,-121.0,2020,9
34.0,-121.0,2020,10
34.0,-121.0,2020,11
34.0,-121.0,2020,12
34.0,-121.0,2021,1
34.0,-121.0,2021,2
34.0,-121.0,2021,3
34.0,-121.0,2021,4
34.0,-121.0,2021,5
34.0,-121.0,2021,6
34.0,-121.0,2021,7
34.0,-121.0,2021,8
34.0,-121.0,2021,9
34.0,-121.0,2021,10
34.0,-121.0,2021,11
34.0,-121.0,2021,12
34.0,-120.0,2019,7
34.0,-120.0,2019,8
34.0,-120.0,2019,9
34.0,-120.0,2019,10
34.0,-120.0,2019,11
34.0,-120.0,2019,12
34.0,-120.0,2020,1
34.0,-120.0,2020,2
34.0,-120.0,2020,3
34.0,-120.0,2020,4
34.0,-120.0,2020,5
34.0,-120.0,2020,6
34.0,-120.0,2020,7
34.0,-120.0,2020,8
34.0,-120.0,2020,9
34.0,-120.0,2020,10
34.0,-120.0,2020,11
34.0,-120.0,2020,12
34.0,-120.0,2021,1
34.0,-120.0,2021,2
34.0,-120.0,2021,3
34.0,-120.0,2021,4
34.0,-120.0,2021,5
34.0,-120.0,2021,6
34.0,-120.0,2021,7
34.0,-120.0,2021,8
34.0,-120.0,2021,9
34.0,-120.0,2021,10
34.0,-120.0,2021,11
34.0,-120.0,2021,12
34.0,-119.0,2019,7
34.0,-119.0,2019,8
34.0,-119.0,2019,9
34.0,-119.0,2019,10
34.0,-119.0,2019,11
34.0,-119.0,2019,12
34.0,-119.0,2020,1
34.0,-119.0,2020,2
34.0,-119.0,2020,3
34.0,-119.0,2020,4
34.0,-119.0,2020,5
34.0,-119.0,2020,6
34.0,-119.0,2020,7
34.0,-119.0,2020,8
34.0,-119.0,2020,9
34.0,-119.0,2020,10
34.0,-119.0,2020,11
34.0,-119.0,2020,12
34.0,-119.0,2021,1
34.0,-119.0,2021,2
34.0,-119.0,2021,3
34.0,-119.0,2021,4
34.0,-119.0,2021,5
34.0,-119.0,2021,6
34.0,-119.0,2021,7
34.0,-119.0,2021,8
34.0,-119.0,2021,9
34.0,-119.0,2021,10
34.0,-119.0,2021,11
34.0,-119.0,2021,12
34.0,-118.0,2019,7
34.0,-118.0,2019,8
34.0,-118.0,2019,9
34.0,-118.0,2019,10
34.0,-118.0,2019,11
34.0,-118.0,2019,12
34.0,-118.0,2020,1
34.0,-118.0,2020,2
34.0,-118.0,2020,3
34.0,-118.0,2020,4
34.0,-118.0,2020,5
34.0,-118.0,2020,6
34.0,-118.0,2020,7
34.0,-118.0,2020,8
34.0,-118.0,2020,9
34.0,-118.0,2020,10
34.0,-118.0,2020,11
34.0,-118.0,2020,12
34.0,-118.0,2021,1
34.0,-118.0,2021,2
34.0,-118.0,2021,3
34.0,-118.0,2021,4
34.0,-118.0,2021,5
34.0,-118.0,2021,6
34.0,-118.0,2021,7
34.0,-118.0,2021,8
34.0,-118.0,2021,9
34.0,-118.0,2021,10
34.0,-118.0,2021,11
34.0,-118.0,2021,12
34.0,-117.0,2019,7
34.0,-117.0,2019,8
34.0,-117.0,2019,9
34.0,-117.0,2019,10
34.0,-117.0,2019,11
34.0,-117.0,2019,12
34.0,-117.0,2020,1
34.0,-117.0,2020,2
34.0,-117.0,2020,3
34.0,-117.0,2020,4
34.0,-117.0,2020,5
34.0,-117.0,2020,6
34.0,-117.0,2020,7
34.0,-117.0,2020,8
34.0,-117.0,2020,9
34.0,-117.0,2020,10
34.0,-117.0,2020,11
34.0,-117.0,2020,12
34.0,-117.0,2021,1
34.0,-117.0,2021,2
34.0,-117.0,2021,3
34.0,-117.0,2021,4
34.0,-117.0,2021,5
34.0,-117.0,2021,6
34.0,-117.0,2021,7
34.0,-117.0,2021,8
34.0,-117.0,2021,9
34.0,-117.0,2021,10
34.0,-117.0,2021,11
34.0,-117.0,2021,12
34.0,-116.0,2019,7
34.0,-116.0,2019,8
34.0,-116.0,2019,9
34.0,-116.0,2019,10
34.0,-116.0,2019,11
34.0,-116.0,2019,12
34.0,-116.0,2020,1
34.0,-116.0,2020,2
34.0,-116.0,2020,3
34.0,-116.0,2020,4
34.0,-116.0,2020,5
34.0,-116.0,2020,6
34.0,-116.0,2020,7
34.0,-116.0,2020,8
34.0,-116.0,2020,9
34.0,-116.0,2020,10
34.0,-116.0,2020,11
34.0,-116.0,2020,12
34.0,-116.0,2021,1
34.0,-116.0,2021,2
34.0,-116.0,2021,3
34.0,-116.0,2021,4
34.0,-116.0,2021,5
34.0,-116.0,2021,6
34.0,-116.0,2021,7
34.0,-116.0,2021,8
34.0,-116.0,2021,9
34.0,-116.0,2021,10
34.0,-116.0,2021,11
34.0,-116.0,2021,12
34.0,-115.0,2019,7
34.0,-115.0,2019,8
34.0,-115.0,2019,9
34.0,-115.0,2019,10
34.0,-115.0,2019,11
34.0,-115.0,2019,12
34.0,-115.0,2020,1
34.0,-115.0,2020,2
34.0,-115.0,2020,3
34.0,-115.0,2020,4
34.0,-115.0,2020,5
34.0,-115.0,2020,6
34.0,-115.0,2020,7
34.0,-115.0,2020,8
34.0,-115.0,2020,9
34.0,-115.0,2020,10
34.0,-115.0,2020,11
34.0,-115.0,2020,12
34.0,-115.0,2021,1
34.0,-115.0,2021,2
